İnsanların arasında adaletle hükmederim                      (En'am,151)
Allah'a asla şirk koşmam                                     (Furkan,68)
Iffetimi korurum                                             (Furkan,68)
Hakkı bile bile gizlemem                                     (Bakara,44)
Namazımı huşu içinde kılarım                                 (Mü'minun,2)
Namazı dosdoğru kılarım                                      (Mü'minun,9)
Anne ve babama öf bile demem                                 (İsra,23)
Boş şeylerden tümüyle yüz çeviririm                          (Mü'minun,3)
Malımla ve canımla cihad ederim                              (Tevbe,5)
Asla zanda bulunmam                                          (Casiye,24)
Cahillerle tartışmam                                         (Furkan,63)
kınayıcının kınamasından korkmam                             (Maide,54)
Asla yalan söylemem                                          (Mü'minun,8)
Emanetlere ihanet etmem                                      (Bakara,177)
Sözümde dururum                                              (Bakara,177)
Zekatı hakkıyla veririm                                      (Bakara,177)
Yetim hakkı yemem                                            (Nisa,2)
Yolda kalmışa yardım ederim                                  (Bakara,17)
Kafirlere karşı sert, Müminlere karşı yumuşak davranırım     (Fetih,29)
İnsanların kusurlarını affederim                             (Al-i İmran,135)
Yanlızca Allah'a dayanıp güvenirim                           (Tevbe,20)
Darlıkta, bollukta infak ederim                              (Al-i İmran,133)
Kızdığım zaman öfkemi yenebilirim                            (Al-i İmran,133)
Başkalarının ilahlarına sövmem                               (En'am,108)
Zinaya asla yaklaşmam                                        (Mü'minun,5)
Yeryüzünde alçak gönülüllük ile yürürüm                      (Furkan,63)
Ölçü ve tartıyı doğru olarak yaparım                         (En'am,52)
Helal ve temiz olandan yerim                                 (Bakara,168)
Allah'ın adı anıldığında kalbim ürperirir                    (Enfal,2)
Kur'an'ı ağır ağır düşünerek okurum                          (Müzemmil,4)  
Kafirlerin gösterişli hayatlarına özenmem                    (Kehf,28)
Zenginlik ve makam beni etkilemez                            (Hac,41)
Yumuşak, kibar ve zarif konuşurum                            (Taha,44)
