Allah'ı gereği gibi tanımam                                         (Zümer,67)
Delilsiz yaşarım                                                    (Fatır,40)
Nasıl olursa olsun atalarımın yolunu takip ederim                   (Yusuf,40)
Ne yapacağını bilmeyen biriyim                                         (Hac,31)
Alimlerin haram helal konusunda ki sözlerine delilsiz tabi olurum  (Tevbe,31)
Allah'tan başkalarının zarar verebileceğine inanırım                  (Nisa,36)
Allah'tan başkalarına teslim olurum                                (En'am, 163)
Gaybı Allah'tan başkasının da bileceğine inanırım                   (Kehf,26)
Allah'a karşı şeyhin şefaati beni kurtarır.                         (En'am,94)
Kanun koyma yetkisini, Parlamento yada önderlere veririm            (Şura,21)
ihtilaftan ve ayrılıktan kaçınmam                                   (Şura,13)
Müminlere üzücü söz söylerim                                        (Al-i İmran,186)
Allah'ı sevdiğim kadar başkalarını da sevebilirim                   (Bakara,165)
Ayetlerden işime gelmezse yüz çeviririm                             (Kasas,87-88)
Vesileye inanırım. Rabıta yaparım                                   (Zümer,3)
İslam'ın her emrinin uygulanabilir olmadığını düşünüyorum           (Şura,111)
Dünyaya bağlıyım. Lâikim/Sekülerim.                                 (Bakara,96)
